questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
OR-018,cellPhone,OR,"What makes Oregon cell phone penalties unique?","Oregon cell phone penalties are the same as other states","Among the highest cell phone fines in the nation","Oregon has no fines for cell phone violations","Oregon only adds points for cell phone violations",B
RI-003,gdlLicensing,RI,"How many hours of supervised driving practice are required in Rhode Island?","30 hours of supervised practice are required in state","50 hours with 10 at night are required in state","40 hours of supervised practice are required in state","20 hours of supervised practice are required in state",B
TN-003,gdlLicensing,TN,"How many hours of supervised driving practice are required in Tennessee?","30 hours of supervised practice are required in state","50 hours with 10 at night are required in state","40 hours of supervised practice are required in state","20 hours of supervised practice are required in state",B
UT-003,gdlLicensing,UT,"How many hours of supervised driving practice are required in Utah?","30 hours of supervised practice are required in Utah","40 hours with 10 at night are required in Utah","50 hours of supervised practice are required in Utah","20 hours of supervised practice are required in Utah",B
VT-003,gdlLicensing,VT,"How many hours of supervised driving practice are required in Vermont?","30 hours of supervised practice are required in state","40 hours with 10 at night are required in state","50 hours of supervised practice are required in state","20 hours of supervised practice are required in state",B
VA-003,gdlLicensing,VA,"How many hours of supervised driving practice are required in Virginia?","30 hours of supervised practice are required in state","45 hours with 15 at night are required in state","50 hours of supervised practice are required in state","40 hours of supervised practice are required in state",B
WA-003,gdlLicensing,WA,"How many hours of supervised driving practice are required in Washington?","30 hours of supervised practice are required in state","50 hours with 10 at night are required in state","40 hours of supervised practice are required in state","60 hours of supervised practice are required in state",B
WV-037,stateUnique,WV,"What should West Virginia drivers watch for on rural roads?","Nothing special distinguishes rural West Virginia roads","Coal trucks wildlife and narrow winding roads common","Hazards are only present near active mining areas","Hazards are only present on designated state routes",B
WI-003,gdlLicensing,WI,"How many hours of supervised driving practice are required in Wisconsin?","20 hours of supervised practice are required in state","30 hours with 10 at night are required in state","50 hours of supervised practice are required in state","40 hours of supervised practice are required in state",B
AL-009,gdlLicensing,AL,"Can handheld device use result in extending your GDL restrictions in Alabama?","No it results in only a fine with no license impact","Yes any GDL violation can extend the restriction period","Only texting violations extend restrictions not calls","Only highway violations extend the restriction period",B
AK-020,duiStateLaws,AK,"What is the BAC limit for drivers under 21 in Alaska?","The BAC limit for drivers under 21 is 0.08% in Alaska","The BAC limit for drivers under 21 is 0.04% in Alaska","The BAC limit for drivers under 21 is 0.02% in Alaska","Any detectable amount of alcohol is prohibited",D
AZ-012,gdlLicensing,AZ,"Can you take the permit test at home in Arizona?","No permit tests can only be taken at DMV offices","Yes through the Permit Test at Home program online","Only through a certified driving school at their office","Only for permit renewal not for initial permit tests",B
CA-028,insurance,CA,"Must you carry proof of insurance in your vehicle in California?","No electronic proof on your phone works for verification","Yes physical or electronic proof is required at all times","Only paper copies are accepted as valid proof","Proof is only required after you are involved in accident",B
CO-006,gdlLicensing,CO,"What are the passenger restrictions for the first 6 months with a minor license in Colorado?","No passengers under 18 are permitted during the period","No passengers under 21 except siblings are permitted","One passenger under 21 is permitted during the period","Unlimited passengers are permitted during the period",B
CO-035,stateUnique,CO,"What must ALL passengers do when riding with a teen driver in Colorado?","Nothing special is required of passengers in Colorado","Wear seat belts with no sharing of belts between people","All passengers must be over the age of 18 years old","All passengers must have written permission to ride",B
CO-036,stateUnique,CO,"When can a first UDD offense be expunged in Colorado?","Immediately after conviction the record can be expunged","When you turn 21 with no subsequent offenses on record","After 5 years the offense can be expunged from record","First UDD offenses can never be expunged from record",B
CT-016,cellPhone,CT,"What are school bus drivers prohibited from using in Connecticut?","Nothing special applies to school bus drivers in state","All cell phones including hands-free while operating","Only handheld phones are prohibited for bus drivers","Only personal phones are prohibited for bus drivers",B
